"Bore ID","Depth From (m)","Depth To (m)","Top Elevation (m AHD)","Bottom Elevation (m AHD)","Major Lithology","Minor Lithology","Description","Source"
"GW403746.3.3",198.0,199.0,-92.74,-93.74,"SAND","NA","Fine to medium sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",203.0,204.0,-97.74,-98.74,"CLAY","NA","Dark grey to brown/black lignite rich clay.","NSW Office of Water"
"GW403746.3.3",212.0,213.0,-106.74,-107.74,"SAND","NA","Fine to medium sand with grey/dark grey lignite rich clay.","NSW Office of Water"
"GW403746.3.3",228.0,229.0,-122.74,-123.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",55.0,56.0,50.26,49.26,"CLAY","NA","Brown clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",71.0,72.0,34.26,33.26,"CLAY","NA","Yellow brown, some grey and red brown clay.","NSW Office of Water"
"GW403746.3.3",73.0,74.0,32.26,31.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",85.0,86.0,20.26,19.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",87.0,88.0,18.26,17.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",90.0,91.0,15.26,14.26,"SAND","NA","Grey coarse sand and gravel with some clay.","NSW Office of Water"
"GW403746.3.3",93.0,94.0,12.26,11.26,"GRVL","NA","Grey fine gravel with some clay.","NSW Office of Water"
"GW403746.3.3",95.0,96.0,10.26,9.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",98.0,99.0,7.26,6.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",111.0,112.0,-5.74,-6.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",113.0,114.0,-7.74,-8.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",131.0,132.0,-25.74,-26.74,"CLAY","NA","Grey clay with lignite and some sand and gravel.","NSW Office of Water"
"GW403746.3.3",134.0,135.0,-28.74,-29.74,"SAND","NA","Grey fine sand with lignite and some sand and gravel.","NSW Office of Water"
"GW403746.3.3",9.0,10.0,96.26,95.26,"CLAY","NA","Light yellow brown clay.","NSW Office of Water"
"GW403746.3.3",10.0,11.0,95.26,94.26,"SDCY","NA","Light yellow brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",11.0,12.0,94.26,93.26,"SDCY","NA","Light yellow brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",15.0,16.0,90.26,89.26,"SAND","NA","Coarse sand and gravel with yellow brown clay.","NSW Office of Water"
"GW403746.3.3",16.0,17.0,89.26,88.26,"CLAY","NA","Yellow brown and some rusty brown clay.","NSW Office of Water"
"GW403746.3.3",25.0,26.0,80.26,79.26,"SAND","NA","Yellowish coarse sand and gravel with some clay.","NSW Office of Water"
"GW403746.3.3",26.0,27.0,79.26,78.26,"GRVL","NA","Yellowish fine gravel with some clay.","NSW Office of Water"
"GW403746.3.3",28.0,29.0,77.26,76.26,"CLAY","NA","Pale yellow, grey and rusty brown clay with minor sand and gravel.","NSW Office of Water"
"GW403746.3.3",1.0,2.0,104.26,103.26,"SILT","NA","Red brown sandy silt.","NSW Office of Water"
"GW403746.3.3",2.0,3.0,103.26,102.26,"CLAY","NA","Grey to pale yellow clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",17.0,18.0,88.26,87.26,"CLAY","NA","Yellow brown and some rusty brown clay.","NSW Office of Water"
"GW403746.3.3",27.0,28.0,78.26,77.26,"CLAY","NA","Pale yellow, grey and rusty brown clay with minor sand and gravel.","NSW Office of Water"
"GW403746.3.3",31.0,32.0,74.26,73.26,"SAND","NA","Brown micaceous fine-medium sand.","NSW Office of Water"
"GW403746.3.3",38.0,39.0,67.26,66.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",40.0,41.0,65.26,64.26,"SDCY","NA","Brown, some grey and rusty brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",60.0,61.0,45.26,44.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",62.0,63.0,43.26,42.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",68.0,69.0,37.26,36.26,"CLAY","NA","Yellow brown and some grey clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",70.0,71.0,35.26,34.26,"CLAY","NA","Yellow brown, some grey and red brown clay.","NSW Office of Water"
"GW403746.3.3",78.0,79.0,27.26,26.26,"CLAY","NA","Brown clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",105.0,106.0,0.26,-0.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",132.0,133.0,-26.74,-27.74,"CLAY","NA","Grey clay with lignite and some sand and gravel.","NSW Office of Water"
"GW403746.3.3",135.0,136.0,-29.74,-30.74,"SAND","NA","Grey to dark grey fine sand.","NSW Office of Water"
"GW403746.3.3",137.0,138.0,-31.74,-32.74,"SAND","NA","Grey to dark grey fine sand.","NSW Office of Water"
"GW403746.3.3",139.0,140.0,-33.74,-34.74,"CLAY","NA","Grey clay with lignite.","NSW Office of Water"
"GW403746.3.3",140.0,141.0,-34.74,-35.74,"CLAY","NA","Grey clay with lignite.","NSW Office of Water"
"GW403746.3.3",150.0,151.0,-44.74,-45.74,"LGNT","NA","Dark brown/black lignite with some coarse sand.","NSW Office of Water"
"GW403746.3.3",155.0,156.0,-49.74,-50.74,"CLAY","NA","Dark grey clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",183.0,184.0,-77.74,-78.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",200.0,201.0,-94.74,-95.74,"CLAY","NA","Dark grey to brown/black lignite rich clay.","NSW Office of Water"
"GW403746.3.3",201.0,202.0,-95.74,-96.74,"CLAY","NA","Dark grey to brown/black lignite rich clay.","NSW Office of Water"
"GW403746.3.3",209.0,210.0,-103.74,-104.74,"SAND","NA","Grey/black fine to coarse sand with gravel and some clay.","NSW Office of Water"
"GW403746.3.3",210.0,211.0,-104.74,-105.74,"SAND","NA","Grey/black fine to coarse sand with gravel and some clay.","NSW Office of Water"
"GW403746.3.3",214.0,215.0,-108.74,-109.74,"CLAY","NA","Dark grey lignite rich clay with some gravel.","NSW Office of Water"
"GW403746.3.3",0.0,1.0,105.26,104.26,"TPSL","NA","Red brown sandy topsoil","NSW Office of Water"
"GW403746.3.3",4.0,5.0,101.26,100.26,"CLAY","NA","Grey to pale yellow clay with some gravel.","NSW Office of Water"
"GW403746.3.3",6.0,7.0,99.26,98.26,"CLAY","NA","Grey and yellow brown clay.","NSW Office of Water"
"GW403746.3.3",12.0,13.0,93.26,92.26,"SDCY","NA","Light yellow brown slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",14.0,15.0,91.26,90.26,"CLAY","NA","Yellow brown clay with coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",44.0,45.0,61.26,60.26,"SDCY","NA","Slightly dark brown sandy clay.","NSW Office of Water"
"GW403746.3.3",61.0,62.0,44.26,43.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",64.0,65.0,41.26,40.26,"SDCY","NA","Yellow brown and some grey sandy clay.","NSW Office of Water"
"GW403746.3.3",51.0,52.0,54.26,53.26,"SDCY","NA","Red brown sandy clay.","NSW Office of Water"
"GW403746.3.3",65.0,66.0,40.26,39.26,"SDCY","NA","Yellow brown and some grey sandy clay.","NSW Office of Water"
"GW403746.3.3",69.0,70.0,36.26,35.26,"CLAY","NA","Yellow brown, some grey and red brown clay.","NSW Office of Water"
"GW403746.3.3",72.0,73.0,33.26,32.26,"CLAY","NA","Brown to yellow brown clay.","NSW Office of Water"
"GW403746.3.3",83.0,84.0,22.26,21.26,"SAND","NA","Grey and brown medium to coarse sand.","NSW Office of Water"
"GW403746.3.3",96.0,97.0,9.26,8.26,"SAND","NA","Grey fine sand with mica.","NSW Office of Water"
"GW403746.3.3",102.0,103.0,3.26,2.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",103.0,104.0,2.26,1.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",110.0,111.0,-4.74,-5.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",121.0,122.0,-15.74,-16.74,"CLAY","NA","Pale yellow clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",124.0,125.0,-18.74,-19.74,"CLAY","NA","Pale yellow clay with some sand and gravel and lignite.","NSW Office of Water"
"GW403746.3.3",133.0,134.0,-27.74,-28.74,"CLAY","NA","Grey clay with lignite and some sand and gravel.","NSW Office of Water"
"GW403746.3.3",173.0,174.0,-67.74,-68.74,"CLAY","NA","Dark grey/black clay with some coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",179.0,180.0,-73.74,-74.74,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",194.0,195.0,-88.74,-89.74,"CLAY","NA","Dark grey clay with lignite and coarse sand.","NSW Office of Water"
"GW403746.3.3",207.0,208.0,-101.74,-102.74,"SAND","NA","Grey fine to coarse sand and some gravel.","NSW Office of Water"
"GW403746.3.3",215.0,216.0,-109.74,-110.74,"CLAY","NA","Dark grey lignite rich clay with some sand and gravel.","NSW Office of Water"
"GW403746.3.3",219.0,220.0,-113.74,-114.74,"SAND","NA","Fine to coarse sand with gravel and dark grey/brown lignite rich clay.","NSW Office of Water"
"GW403746.3.3",223.0,224.0,-117.74,-118.74,"CLAY","NA","Dark grey/brown lignite rich clay with coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",5.0,6.0,100.26,99.26,"CLAY","NA","Grey to pale yellow clay with some gravel.","NSW Office of Water"
"GW403746.3.3",7.0,8.0,98.26,97.26,"CLAY","NA","Grey and yellow brown clay.","NSW Office of Water"
"GW403746.3.3",20.0,21.0,85.26,84.26,"SAND","NA","Coarse sand and gravel with brown/yellow brown clay.","NSW Office of Water"
"GW403746.3.3",29.0,30.0,76.26,75.26,"CLAY","NA","Pale yellow, grey and rusty brown clay with minor sand and gravel.","NSW Office of Water"
"GW403746.3.3",35.0,36.0,70.26,69.26,"SAND","NA","Brown micaceous fine-medium sand.","NSW Office of Water"
"GW403746.3.3",46.0,47.0,59.26,58.26,"SLCY","NA","Light brown and grey silty clay.","NSW Office of Water"
"GW403746.3.3",56.0,57.0,49.26,48.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",59.0,60.0,46.26,45.26,"SAND","NA","Brown fine to medium sand.","NSW Office of Water"
"GW403746.3.3",67.0,68.0,38.26,37.26,"SDCY","NA","Yellow brown and some grey slightly sandy clay.","NSW Office of Water"
"GW403746.3.3",165.0,166.0,-59.74,-60.74,"SAND","NA","Grey fine sand.","NSW Office of Water"
"GW403746.3.3",169.0,170.0,-63.74,-64.74,"CLAY","NA","Dark grey/black clay with lignite and some coarse sand.","NSW Office of Water"
"GW403746.3.3",171.0,172.0,-65.74,-66.74,"CLAY","NA","Dark grey/black clay with some coarse sand and gravel.","NSW Office of Water"
"GW403746.3.3",176.0,177.0,-70.74,-71.74,"SAND","NA","Grey/brown fine to medium sand with mica.","NSW Office of Water"
"GW403746.3.3",190.0,191.0,-84.74,-85.74,"SAND","NA","Coarse sand with dark grey clay and lignite.","NSW Office of Water"
"GW403746.3.3",193.0,194.0,-87.74,-88.74,"CLAY","NA","Dark grey clay with lignite and coarse sand.","NSW Office of Water"
"GW403746.3.3",213.0,214.0,-107.74,-108.74,"CLAY","NA","Dark grey lignite rich clay with some gravel.","NSW Office of Water"
"GW403746.3.3",224.0,225.0,-118.74,-119.74,"SAND","NA","Fine to coarse sand with gravel and dark brown lignite rich clay.","NSW Office of Water"
"GW403746.3.3",233.0,234.0,-127.74,-128.74,"SAND","NA","Fine to coarse sand with gravel.","NSW Office of Water"
"GW403746.3.3",75.0,76.0,30.26,29.26,"SAND","NA","Brown medium sand.","NSW Office of Water"
"GW403746.3.3",77.0,78.0,28.26,27.26,"CLAY","NA","Brown clay with sand and gravel.","NSW Office of Water"
"GW403746.3.3",101.0,102.0,4.26,3.26,"SAND","NA","Grey fine to medium sand with mica.","NSW Office of Water"
